Country,Event,Event Link,Event Logo,Country Link,Country Logo,Artist,Artist Link,Song,Song Link,Flag
San Marino,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/san-marino,https://static.eurovision.tv/hb-cgi/images/8d9387d1-bb97-4d83-b573-ba00a2eae728.svg,Senhit,https://eurovision.tv/participant/senhit-2021,No song yet,https://www.youtube.com/watch?v=c6ZNo_hVA6E,1
Serbia,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/serbia,https://static.eurovision.tv/hb-cgi/images/8d9387d0-c64f-4ab5-bd48-6fb25e5b343d.svg,Hurricane,https://eurovision.tv/participant/hurricane-2021,No song yet,https://www.youtube.com/watch?v=8Y0cczOeznQ,1
Slovenia,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/slovenia,https://static.eurovision.tv/hb-cgi/images/8d938784-099c-474a-99fb-51ec49400899.svg,Ana Soklič,https://eurovision.tv/participant/ana-soklic-2021,No song yet,https://www.youtube.com/watch?v=4xTAr56eupA,1
Spain,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/spain,https://static.eurovision.tv/hb-cgi/images/8d9388b1-0d59-43b4-9777-ec7b545077f3.svg,Blas Cantó,https://eurovision.tv/participant/blas-canto-2021,No song yet,https://www.youtube.com/watch?v=tjxYfPdOW7U,1
Sweden,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/sweden,https://static.eurovision.tv/hb-cgi/images/8d938783-ccc9-42c9-9f74-89c607bb7dfe.svg,To be announced,,Sweden to participate for the 60th time,,
Switzerland,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/switzerland,https://static.eurovision.tv/hb-cgi/images/8d9388bd-8cdd-47ae-9c14-eba17dcc8d6f.svg,Gjon's Tears,https://eurovision.tv/participant/gjons-tears-2021,No song yet,https://www.youtube.com/watch?v=O9GAfFHZE-E,1
The Netherlands,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/the-netherlands,https://static.eurovision.tv/hb-cgi/images/8d9387e9-8829-478f-b985-db9da30f4277.svg,Jeangu Macrooy,https://eurovision.tv/participant/jeangu-macrooy-2021,No song yet,https://www.youtube.com/watch?v=sMcxWB90TTY,1
Ukraine,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/ukraine,https://static.eurovision.tv/hb-cgi/images/8d9386fe-147d-4043-989b-6d8eed8c322e.svg,Go_A,https://eurovision.tv/participant/go-a-2021,No song yet,https://www.youtube.com/watch?v=zNetXPSld50,1
United Kingdom,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/united-kingdom,https://static.eurovision.tv/hb-cgi/images/8d938882-af21-4fa6-b0d6-35a5fa6a0939.svg,To be announced,,United Kingdom to participate for the 63rd time,,
Albania,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/albania,https://static.eurovision.tv/hb-cgi/images/8d938a00-42af-4b60-835f-415a224a66cd.svg,Arilena Ara,https://eurovision.tv/participant/arilena-ara,Fall From The Sky,https://youtube.com/watch?v=p-E-kIFPrsY,0
Armenia,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/armenia,https://static.eurovision.tv/hb-cgi/images/8d93896f-fd4c-4afe-bd6e-9caaab1fde55.svg,Athena Manoukian,https://eurovision.tv/participant/athena-manoukian,Chains On You,https://youtube.com/watch?v=XpQHGMM8c5U,0
Australia,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/australia,https://static.eurovision.tv/hb-cgi/images/8d93895c-9990-4097-af10-1e22a057fb79.svg,Montaigne,https://eurovision.tv/participant/montaigne,Don't Break Me,https://youtube.com/watch?v=gr-wWxu4974,0
Austria,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/austria,https://static.eurovision.tv/hb-cgi/images/8d93895c-40a0-4991-b0c2-ece12225bf32.svg,Vincent Bueno,https://eurovision.tv/participant/vincent-bueno,Alive,https://youtube.com/watch?v=cOuiTJlBC50,0
Azerbaijan,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/azerbaijan,https://static.eurovision.tv/hb-cgi/images/8d93895b-f5a2-40c3-8e80-ccb3100837fb.svg,Efendi,https://eurovision.tv/participant/efendi,Cleopatra,https://youtube.com/watch?v=I0VzBCvO1Wk,0
Belarus,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/belarus,https://static.eurovision.tv/hb-cgi/images/8d9388bf-2507-4a4e-be3c-b3c5d0e6180f.svg,VAL,https://eurovision.tv/participant/val,Da Vidna,https://youtube.com/watch?v=F0wfxz5zq04,0
Belgium,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/belgium,https://static.eurovision.tv/hb-cgi/images/8d93893e-237b-427a-b982-a0c7d1c41fde.svg,Hooverphonic,https://eurovision.tv/participant/hooverphonic-1,Release Me,https://youtube.com/watch?v=lAqjksxc4iA,0
Bulgaria,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/bulgaria,https://static.eurovision.tv/hb-cgi/images/8d9388c1-04f7-4d41-818d-6d3bacf4253a.svg,VICTORIA,https://eurovision.tv/participant/victoria,Tears Getting Sober,https://youtube.com/watch?v=V_hgYnwZR8I,0
Croatia,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/croatia,https://static.eurovision.tv/hb-cgi/images/8d93887c-4206-405c-bcf9-2f15ab74d1ac.svg,Damir Kedžo,https://eurovision.tv/participant/damir-kedzo,Divlji Vjetre,https://youtube.com/watch?v=2rOwScdxjJU,0
Cyprus,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/cyprus,https://static.eurovision.tv/hb-cgi/images/8d9388bc-39b2-4c25-ac07-51f9e63967c0.svg,Sandro,https://eurovision.tv/participant/sandro,Running,https://youtube.com/watch?v=Jl_qEw_4OK0,0
Czech Republic,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/czech-republic,https://static.eurovision.tv/hb-cgi/images/8d9388b8-1024-4996-b07f-f858b38d5a4d.svg,Benny Cristo,https://eurovision.tv/participant/benny-cristo,Kemama,https://youtube.com/watch?v=wROqCHLnbko,0
Denmark,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/denmark,https://static.eurovision.tv/hb-cgi/images/8d9388b2-4037-42a1-80d4-9d707d193b52.svg,Ben & Tan,https://eurovision.tv/participant/ben-tan,YES,https://youtube.com/watch?v=XQ5tMhQIp1E,0
Estonia,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/estonia,https://static.eurovision.tv/hb-cgi/images/8d9388b0-cfa5-47fe-8d1c-ec1a9d773af2.svg,Uku Suviste,https://eurovision.tv/participant/uku-suviste,What Love Is,https://youtube.com/watch?v=3EIQ6U039ms,0
Finland,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/finland,https://static.eurovision.tv/hb-cgi/images/8d938883-a75b-4720-8911-8e3796f2a7d1.svg,Aksel,https://eurovision.tv/participant/aksel-kankaanranta,Looking Back,https://youtube.com/watch?v=EgONBKFQpxE,0
France,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/france,https://static.eurovision.tv/hb-cgi/images/8d938882-e456-4901-a2d2-de3b6ccc7cdb.svg,Tom Leeb,https://eurovision.tv/participant/tom-leeb,Mon Alliée (The Best In Me),https://youtube.com/watch?v=J5SOdhXjYko,0
Georgia,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/georgia,https://static.eurovision.tv/hb-cgi/images/8d938882-5102-4e3c-8e83-527766ab211c.svg,Tornike Kipiani,https://eurovision.tv/participant/tornike-kipiani,Take Me As I Am,https://youtube.com/watch?v=LjNK4Xywjc4,0
Germany,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/germany,https://static.eurovision.tv/hb-cgi/images/8d9388b6-92cc-4f05-a687-e4ebe31966cb.svg,Ben Dolic,https://eurovision.tv/participant/ben-dolic,Violent Thing,https://youtube.com/watch?v=hAobDQ9GbT4,0
Greece,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/greece,https://static.eurovision.tv/hb-cgi/images/8d93887d-4341-4b77-9c5c-7ad22f3262b3.svg,Stefania,https://eurovision.tv/participant/stefania,SUPERG!RL,https://youtube.com/watch?v=dJxCINWp_j0,0
Iceland,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/iceland,https://static.eurovision.tv/hb-cgi/images/8d9a46c4-def5-4b18-b4af-375320fbac0e.svg,Daði og Gagnamagnið,https://eurovision.tv/participant/dadji-freyr,Think About Things,https://youtube.com/watch?v=1HU7ocv3S2o,0
Ireland,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/ireland,https://static.eurovision.tv/hb-cgi/images/8d93887b-7df6-40dc-bfa5-aa99d70ac957.svg,Lesley Roy,https://eurovision.tv/participant/lesley-roy,Story Of My Life,https://youtube.com/watch?v=HLgE0Ayl5Hc,0
Israel,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/israel,https://static.eurovision.tv/hb-cgi/images/8d93886a-4c64-40a7-8e95-ad0732715a38.svg,Eden Alene,https://eurovision.tv/participant/eden-alene,Feker Libi,https://youtube.com/watch?v=YjzyZZ-oidc,0
Italy,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/italy,https://static.eurovision.tv/hb-cgi/images/8d93886a-27ac-4996-bc17-2f12b47b2a0e.svg,Diodato,https://eurovision.tv/participant/diodato,Fai Rumore,https://youtube.com/watch?v=TA57rugucwk,0
Latvia,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/latvia,https://static.eurovision.tv/hb-cgi/images/8d938866-37b5-494b-bf22-b216ab1d8fce.svg,Samanta Tīna,https://eurovision.tv/participant/samanta-tina,Still Breathing,https://youtube.com/watch?v=ELr6U2fOrnE,0
Lithuania,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/lithuania,https://static.eurovision.tv/hb-cgi/images/8d938867-7e59-4252-979c-a9f152caa024.svg,The Roop,https://eurovision.tv/participant/the-roop,On Fire,https://youtube.com/watch?v=FxPm-Wz8qpY,0
Malta,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/malta,https://static.eurovision.tv/hb-cgi/images/8d9387f2-8d60-494e-bd92-0d201e17c376.svg,Destiny,https://eurovision.tv/participant/destiny-chukunyere,All Of My Love,https://youtube.com/watch?v=CFCn_8oViRw,0
Moldova,Rotterdam 2020,https://eurovision.tv/event/rotterdam-2020,https://static.eurovision.tv/hb-cgi/images/90f03672-a81d-43ad-9d85-9f93e3ed82e1.png,https://eurovision.tv/country/moldova,https://static.eurovision.tv/hb-cgi/images/8d938863-f530-484c-9b17-ff4a299bac5d.svg,Natalia Gordienko,https://eurovision.tv/participant/natalia-gordienko,Prison,https://youtube.com/watch?v=RnD1ApDo5_k,0
